order_id,from_node_id,to_node_id,goods_volume
0,1,33,2
1,11,38,1
2,5,53,4
3,15,46,2
4,9,30,5
5,5,40,2
6,4,58,3
7,4,59,5
8,9,57,1
9,9,23,1
10,12,49,3
11,14,52,1
12,12,55,5
13,15,41,5
14,8,28,5
15,1,25,2
16,4,36,2
17,9,19,5
18,8,45,2
19,8,32,2
20,14,50,4
21,11,22,2
22,2,17,4
23,9,60,4
24,5,48,2
25,8,39,2
26,1,54,2
27,12,51,1
28,13,47,4
29,5,35,1
30,10,18,5
31,1,37,2
32,11,34,5
33,15,43,1
34,7,26,4
35,13,42,3
36,5,44,2
37,3,20,5
38,5,27,5
39,7,56,5
40,4,31,1
41,11,24,1
42,4,16,3
43,8,21,1
44,9,29,4
45,1,0,0
