id,start_time,end_time,coor_x,coor_y
0,0,24,54,12
10,0,12,57,13
11,12,20,74,23
20,0,12,77,50
21,12,20,77,29
30,0,12,19,36
31,12,20,31,76
40,0,12,46,62
41,12,20,22,77
50,0,12,68,71
51,12,20,75,24
60,0,12,49,14
61,12,20,56,77
70,0,12,47,21
71,12,20,35,66
80,0,12,19,26
81,12,20,30,34
90,0,12,79,39
91,12,20,57,31
100,0,12,74,35
101,12,20,59,70
110,0,12,39,71
111,12,20,29,43
120,0,12,29,42
121,12,20,24,41
130,0,12,49,23
131,12,20,42,66
140,0,12,75,34
141,12,20,19,51
150,0,12,67,28
151,12,20,42,50
160,0,12,41,64
161,12,20,33,21
170,0,12,45,48
171,12,20,65,11
180,0,12,38,54
181,12,20,44,34
190,0,12,10,77
191,12,20,10,13
200,0,12,46,45
201,12,20,63,71
210,0,12,15,79
211,12,20,48,53
220,0,12,27,42
221,12,20,14,21
230,0,12,52,20
231,12,20,68,64
240,0,12,41,47
241,12,20,11,38
250,0,12,75,12
251,12,20,51,37
260,0,12,67,33
261,12,20,45,63
270,0,12,21,61
271,12,20,56,56
280,0,12,10,30
281,12,20,24,63
290,0,12,63,39
291,12,20,22,77
300,0,12,52,45
301,12,20,78,49
310,0,12,16,19
311,12,20,78,51
320,0,12,57,33
321,12,20,13,13
330,0,12,62,56
331,12,20,25,60
340,0,12,30,13
341,12,20,68,41
350,0,12,33,19
351,12,20,23,20
360,0,12,58,37
361,12,20,59,55
370,0,12,79,49
371,12,20,51,71
380,0,12,45,54
381,12,20,74,44
390,0,12,79,44
391,12,20,10,43
400,0,12,60,15
401,12,20,46,46
410,0,12,44,10
411,12,20,58,44
420,0,12,13,79
421,12,20,52,63
430,0,12,31,72
431,12,20,10,18
440,0,12,20,71
441,12,20,53,11
450,0,12,68,45
451,12,20,33,50
460,0,12,69,46
461,12,20,12,58
470,0,12,72,35
471,12,20,45,77
480,0,12,77,45
481,12,20,56,40
490,0,12,30,39
491,12,20,60,43
500,0,12,37,28
501,12,20,24,27
510,0,12,51,12
511,12,20,68,79
520,0,12,75,22
521,12,20,46,54
530,0,12,20,76
531,12,20,53,49
540,0,12,21,49
541,12,20,12,32
550,0,12,61,40
551,12,20,42,27
560,0,12,64,28
561,12,20,10,53
570,0,12,48,59
571,12,20,29,51
580,0,12,56,56
581,12,20,52,31
590,0,12,66,38
591,12,20,70,68
600,0,12,40,10
601,12,20,34,73
